5,Five oktas - 6/10
10,Partial obscuration 11: Thin scattered
16,Dark broken 17: Thin overcast 18: Overcast
13,Dark scattered
1,One okta - 1/10 or less but not zero
19,Dark overcast
8,"Eight oktas - 10/10, or OVC"
0,"None, SKC or CLR"
2,"Two oktas - 2/10 - 3/10, or FEW"
4,"Four oktas - 5/10, or SCT"
7,"Seven oktas - 9/10 or more but not 10/10, or BKN"
6,Six oktas - 7/10 - 8/10
9,"Sky obscured, or cloud amount cannot be estimated"
14,Thin broken 15: Broken
12,Scattered
3,Three oktas - 4/10
