435330:99999,HANIMADU,MV,,,6.733,73.15,1
536150:99999,YINCHUAN (CITY),CI,,,38.467,106.267,1005
541340:99999,KAILU,CI,,,43.617,121.317,274
913850:99999,PALMYRA ISLAND,LN,,,5.883,-162.05,2
84170:99999,JAEN,SP,,,37.783,-3.8,569
249520:99999,BOGUS SOVIET,RA,,,0,0,0
338770:99999,NIZNIE SEROGOZY,UR,,,46.85,34.4,54
289860:99999,ZOLOTAJA NIVA,RA,,,52.967,71.933,196
140050:99999,BOVEC,LJ,,,46.333,13.567,452
249620:99999,AMGA,RA,,,60.9,131.983,148
133560:99999,CEMERNO (MOUNT),YG,,,43.233,18.6,1305
377690:99999,SUMGAIT (STREAM),RS,,,40.6,49.633,-20
305040:99999,TULUN,RA,,,54.6,100.633,522
716316:99999,GODERICH (AUTO8),CN,,,43.767,-81.7,213
315340:99999,SEKTAGLI,RA,,,50.433,131.017,231
361030:99999,TOORA-HEM,RA,,,52.467,96.367,920
355490:99999,TAUP,RA,,,48.25,62,74
835130:99999,NHUMIRIM,BZ,,,-18.983,-56.65,89
133350:99999,HVAR,YG,,,43.167,16.45,20
876430:99999,OLOVARRIA AERO,AG,,,-36.883,-60.217,166
387560:99999,BEKIBEND,RA,,,38.617,55.183,208
603670:99999,EL-KALA,AL,,,36.9,8.45,10
82204:99999,MADRI-COLMENAR,SP,,,40.65,-3.733,0
946230:99999,YORK,AU,,,-31.883,116.75,198
154010:99999,BOGUS ROMANIAN,RO,,,0,0,88
60370:99999,SKAGEN,DN,,,57.783,10.733,1
714765:99999,GREY ISLET (MAPS) &,CN,,,54.583,-130.7,13
442660:99999,TONHIL,MO,,,46.317,93.9,0
529860:99999,LINTAO,CI,,,35.383,103.85,1905
957640:99999,RIVERVIEW,AU,,,-33.833,151.15,40
477400:99999,SAIGO,JP,,,36.2,133.333,31
933730:99999,NAPIER AERO AWS,NZ,,,-39.45,176.85,3
237450:99999,KOCEVJE,RA,,,62.467,73.117,80
477670:99999,FUKUYAMA,JP,,,34.45,133.25,3
111580:99999,BOGUS AUSTRIAN,OS,,,0,0,0
80030:99999,MONTEVENTOSO,SP,,,43.483,-8.317,240
282640:99999,TAVDA,RA,,,58.05,65.349,62
477050:99999,FUKUI/TOJIMBO,JP,,,36.233,136.15,80
371770:99999,GAGRY,RS,,,43.25,40.267,7
594720:99999,MING-CHENG,CI,,,22.867,112.7,0
941330:99999,MINJILANG,AU,,,-11.15,132.583,24
43130:99999,HENRIK KROEYERHOLME,GL,,,80.633,-13.717,10
941030:99999,BROOSE ISL AWS AUT,AU,,,-14.117,123.533,5
388850:99999,KAAHKA,RA,,,37.35,59.633,308
478430:99999,FUKUE,JP,,,32.7,128.833,26
477840:99999,YAMAGUCHI,JP,,,34.15,131.45,18
331360:99999,VOLSKOVTSKY,UR,,,51.567,31.967,143
245380:99999,CUCUKAN,RA,,,64.033,116.9,142
317070:99999,EKATERINO-NIKOL`SKO,RA,,,47.733,130.967,74
39530:99999,VALENTIA OBSERVATOR,IE,,,51.933,-10.25,14
946610:99999,CLEVE,AU,,,-33.7,136.483,194
345040:99999,DNEPROPETROVSK,UR,,,48.367,35.083,142
63100:99999,VLISSINGEN,NL,,,51.45,3.6,10
946390:99999,NORSEMAN,AU,,,-32.2,121.783,278
689160:99999,CAPE POINT (LGT-H),ZA,,,-34.35,18.5,226
589260:99999,ZHANG PING,CI,,,25.3,117.4,203
953160:99999,TOM PRICE,AU,,,-22.7,117.767,746
740920:99999,DEWAR LAKES,CN,,,68.65,-71.233,515
412570:99999,SAMAIL,OM,,,23.3,57.933,414
948180:99999,CAPE NORTHUMBERLAND,AU,,,-38.05,140.667,6
404540:99999,OBAYLAH,SD,,,22,49.917,150
993554:99999,SHIP BLOCK 55,,,,0,0,146
110530:99999,RIED IM INNKREIS,OS,,,48.217,13.483,431
238140:99999,BOGUS SOVIET,RA,,,0,0,0
832290:99999,SALVADOR,BZ,,,-13.017,-38.517,51
947340:99999,NARRABRI WEST,AU,,,-30.333,149.75,212
289390:99999,KALININSK,RA,,,52.5,59.7,381
387190:99999,ANZOB PASS,RA,,,39.067,68.883,3373
21180:99999,DIKANAS/SKANSNAS,SN,,,65.316,16.033,525
412550:99999,NIZWA,OM,,,22.85,57.533,460
37820:99999,BLACKWALL,UK,,,51.517,0.017,5
299460:99999,KONDOMA,RA,,,52.867,87.283,354
102860:99999,WOLDEGK,DL,,,53.467,13.617,118
14000:99999,EKOFISK,NO,,,56.533,3.217,46
38960:99999,SAINT HELIER,UK,,,49.2,-2.1,54
111560:99999,BAD ISCHL,OS,,,47.717,13.633,470
30370:99999,SKYE LUSA,UK,,,57.25,-5.8,18
833840:99999,ARINOS,BZ,,,-15.9,-46.05,519
22150:99999,ARESKUTAN,SN,,,63.433,13.083,1120
574260:99999,LIANGPING,CI,,,30.683,107.8,455
80140:99999,GIJON,SP,,,43.533,-5.633,10
430970:99999,KORAPUT,IN,,,18.817,82.717,913
672230:99999,MONTEPUEZ,MZ,,,-13.133,39.033,535
31680:99999,GALASHIELS,UK,,,55.6,-2.9,146
407200:99999,BOGUS IRANIAN,IR,,,0,0,0
471207:99999,SEOUL EAST(KOR-AFB),KO,,,37.433,127.117,20
367610:99999,NAYMAN-SUYEK,RA,,,45.7,77.267,368
265470:99999,DUKSTAS,,,,55.517,26.3,168
283260:99999,KUNGUR,RA,,,57.417,56.933,140
151150:99999,BOGUS ROMANIAN,RO,,,0,0,0
915070:99999,AUKI/MALAITA ISLAND,SO,,,-8.783,160.733,11
289670:99999,KARASUL,RA,,,52.667,65.5,209
579270:99999,APPROXIMATE LOCALE,CI,,,25.283,107.3,0
110120:99999,KREMSMUENSTER,OS,,,48.05,14.133,388
81410:99999,VALLADOLID,SP,,,41.65,-4.767,735
577660:99999,SHAOYANG,CI,,,27.233,111.467,248
409730:99999,BACKWA,AH,,,32.233,62.967,724
231030:99999,HODOVARIHA,RA,,,68.933,53.767,11
788077:99999,SANTIAGO,PM,,,8.083,-80.95,83
225730:99999,LESUKONSKOJE,RS,,,64.9,45.767,66
386850:99999,KARAKUL-IN-UZBEK,RA,,,39.5,63.85,196
66190:99999,LA FRETAZ,SW,,,46.833,6.583,0
544740:99999,BOGUS CHINESE,CI,,,40.5,122.167,0
546020:99999,BAODING,CI,,,38.85,115.567,19
12580:99999,TRONDHEIM (TYHOLT),NO,,,63.417,10.433,113
314440:99999,KUMARA-IN-AMUR,RA,,,51.567,126.717,173
517080:99999,AK-TO,CI,,,39.083,76.033,0
433250:99999,SALEM,IN,,,11.65,78.167,279
